"Strain","ColonyID","Size","MinorAxisLength","Eccentricity","MeanIntensity","Radius","Type","PlateNumber","Date"
"WT_37",48,899,33.221501171069,0.270661268564413,0.494730654795715,16.916281733266,3,"2","G"
"WT_37",49,1097,36.8283972097489,0.243363805673368,0.492722734528442,18.6865177372248,3,"2","G"
"WT_37",50,960,33.7828380224948,0.367259445765719,0.477717907478003,17.4807748894733,3,"2","G"
"WT_37",51,759,30.5392375699733,0.268043612535772,0.494585561770653,15.5433974282812,3,"2","G"
"WT_37",52,805,24.4979931127295,0.865748988046191,0.511424782130652,16.0074813252414,3,"2","G"
"WT_37",53,657,28.6869128490055,0.187617523424023,0.492794732649247,14.4613137447035,3,"2","G"
"WT_37",54,957,33.8592037051126,0.347893460012206,0.485550764880862,17.4534398064647,3,"2","G"
"WT_37",55,768,30.4053077983529,0.336448521283403,0.473082449119245,15.6352803808934,3,"2","G"
"WT_37",56,929,34.011435709551,0.214098019620016,0.485244099133091,17.1962171498484,3,"2","G"
"WT_37",57,744,30.0860584507593,0.308421692387804,0.475873608732024,15.3890401039422,3,"2","G"
"WT_37",58,879,21.2884870131255,0.919260582132515,0.462448294527931,16.7270556272033,3,"2","G"
"WT_37",59,768,30.9895673889133,0.197518013499158,0.493742469793054,15.6352803808934,3,"2","G"
"WT_37",60,819,32.009327598846,0.194278218622449,0.498228367742235,16.1460768233192,3,"2","G"
"WT_37",61,1154,37.8696604275527,0.221856069536542,0.489779834368748,19.1658448458735,3,"2","G"
"WT_37",62,882,33.0167340630129,0.246946921897351,0.494368522154554,16.7555757768602,3,"2","G"
"WT_37",63,734,30.4264981492711,0.147354276065451,0.487544313663638,15.2852692635394,3,"2","G"
"WT_37",64,1228,32.6310885482544,0.738993630792678,0.478744671097443,19.7708001920432,3,"2","G"
"WT_37",65,855,32.2347555264066,0.3031752690505,0.466123706847282,16.4971195269702,3,"2","G"
"WT_37",66,807,31.6980427430328,0.214806833553733,0.496098732044924,16.0273540595545,3,"2","G"
"WT_37",67,846,31.9366520987555,0.327425145358143,0.497375720086075,16.4100628795714,3,"2","G"
"WT_37",68,669,28.9509644320736,0.18736898662768,0.488386924151632,14.5927829373617,3,"2","G"
"WT_37",69,850,32.3920977172922,0.252732188464217,0.48810073954454,16.4488116061989,3,"2","G"
"WT_37",70,891,32.5023353529454,0.369239383470618,0.495857601504543,16.840846433293,3,"2","G"
"WT_37",71,570,26.3728437302285,0.3179643488075,0.472278648158053,13.4698416889272,3,"2","G"
"WT_37",72,829,27.7569806568778,0.695201303421417,0.439886530735115,16.2443496529212,3,"2","G"
"WT_37",73,580,27.0063714701729,0.213328579189011,0.465263259471067,13.5874844613195,3,"2","G"
"WT_37",74,726,30.0171405630509,0.229647272810429,0.491074365343443,15.2017425767388,3,"2","G"
"WT_37",75,896,33.5593737102948,0.168614699248178,0.48491649679336,16.888032982579,3,"2","G"
"WT_37",76,1064,36.6499839577063,0.14125426366664,0.490419431675109,18.4033072815609,3,"2","G"
"WT_37",77,942,34.1945965031596,0.227776169728634,0.49413084004297,17.3161171393916,3,"2","G"
"WT_37",78,417,21.9564141073144,0.469929533170281,0.446874588094522,11.5210773167547,3,"2","G"
"WT_37",79,1080,36.7354753990823,0.198058057446528,0.488161754502867,18.5411616971131,3,"2","G"
"WT_37",80,693,29.2830792321561,0.242818790020989,0.496156589748092,14.8522305101075,3,"2","G"
"WT_37",81,908,33.0568790339766,0.329647517339064,0.493977304972493,17.0007463558187,3,"2","G"
"WT_37",82,423,16.2634282278943,0.872109668629835,0.493351423503456,11.6036667418426,3,"2","G"
"WT_37",83,836,32.1356151622801,0.247844556170846,0.497213815826755,16.312788383647,3,"2","G"
"WT_37",84,972,34.84549925972,0.200109381498015,0.493790154859602,17.5896904285051,3,"2","G"
"WT_37",85,443,22.613020007755,0.460266871496303,0.452629817501406,11.8748170335134,3,"2","G"
"WT_37",86,721,25.0485327116156,0.744251826680546,0.433206846762884,15.1493045364635,3,"2","G"
"WT_37",87,468,22.8512021440291,0.499951315932613,0.451866667294764,12.2052868353847,3,"2","G"
"WT_37",88,760,30.6961920808318,0.235745180336696,0.496955494515551,15.5536334500875,3,"2","G"
"WT_37",89,907,26.9661034460814,0.788179729835746,0.46748771526575,16.991382132384,3,"2","G"
"WT_37",90,488,24.0023686181843,0.391562921907123,0.442582345568009,12.463355264843,3,"2","G"
"WT_37",91,1084,36.7897689285332,0.200926840698149,0.49415195358263,18.5754654483604,3,"2","G"
"WT_37",92,329,18.6928210396947,0.603252432688198,0.449854665468122,10.2334721651289,3,"2","G"
"WT_37",93,687,29.0965730881396,0.267945957794897,0.485331962148506,14.7877953667294,3,"2","G"
"WT_37",94,864,32.7049711205961,0.239475403140677,0.49324144608892,16.5837191746241,3,"2","G"
"WT_37",95,763,30.9187181281949,0.199154980635082,0.476515274454676,15.5843011764478,3,"2","G"
"WT_37",96,725,29.6552616082303,0.308669117842691,0.50184928151775,15.1912694493662,3,"2","G"
"WT_37",97,1093,31.615494503667,0.699507388061497,0.503897155622046,18.6524182238894,3,"2","G"
"WT_37",98,1111,31.9600609559876,0.696901483663401,0.489161468063713,18.8053791121102,3,"2","G"
"WT_37",99,476,24.8861711961412,0.0545398548285343,0.444374232794288,12.3091634899974,3,"2","G"
"WT_37",100,838,32.3990366891987,0.186637768449653,0.498572618321814,16.3322896319535,3,"2","G"
"WT_37",101,494,23.9424281373662,0.426118121560296,0.443475969642229,12.5397401797163,3,"2","G"
"WT_37",102,813,31.5927878112477,0.270737075170625,0.49763736707751,16.0868249654002,3,"2","G"
"WT_37",103,897,33.7196429450772,0.108600853803046,0.494019844870728,16.8974544800943,3,"2","G"
"WT_37",104,525,22.8909201404886,0.650561002464697,0.467963282526393,12.927207364566,3,"2","G"
"WT_37",105,825,32.0670745171818,0.212963117990258,0.494508321120222,16.2051120360714,3,"2","G"
"WT_37",106,827,32.2081992429059,0.179832460852307,0.496995646378643,16.2247427059413,3,"2","G"
"WT_37",107,668,28.6680699505412,0.273349315291987,0.485552974310161,14.5818724439206,3,"2","G"
"WT_37",108,493,23.9935879143885,0.414985468052416,0.439824460635063,12.5270417053911,3,"2","G"
